semester,semester,course_id,enrollment
Spring2025,BSCSE,ACT 2111,2
Spring2025,BSCSE,BDS 1201,15
Spring2025,BSCSE,BIO 3105,7
Spring2025,BSCSE,CSE 1110,20
Spring2025,BSCSE,CSE 1111,19
Spring2025,BSCSE,CSE 1112,20
Spring2025,BSCSE,CSE 1115,16
Spring2025,BSCSE,CSE 1116,18
Spring2025,BSCSE,CSE 1325,17
Spring2025,BSCSE,CSE 1326,19
Spring2025,BSCSE,CSE 2118,12
Spring2025,BSCSE,CSE 2213,15
Spring2025,BSCSE,CSE 2215,12
Spring2025,BSCSE,CSE 2216,18
Spring2025,BSCSE,CSE 2217,10
Spring2025,BSCSE,CSE 2218,12
Spring2025,BSCSE,CSE 2233,17
Spring2025,BSCSE,CSE 3313,10
Spring2025,BSCSE,CSE 3411,12
Spring2025,BSCSE,CSE 3412,10
Spring2025,BSCSE,CSE 3421,4
Spring2025,BSCSE,CSE 3422,6
Spring2025,BSCSE,CSE 3521,11
Spring2025,BSCSE,CSE 3522,13
Spring2025,BSCSE,CSE 3711,9
Spring2025,BSCSE,CSE 3712,11
Spring2025,BSCSE,CSE 3715,1
Spring2025,BSCSE,CSE 3811,8
Spring2025,BSCSE,CSE 3812,10
Spring2025,BSCSE,CSE 4000A,6
Spring2025,BSCSE,CSE 4165,5
Spring2025,BSCSE,CSE 4181,1
Spring2025,BSCSE,CSE 4325,6
Spring2025,BSCSE,CSE 4326,8
Spring2025,BSCSE,CSE 4435,2
Spring2025,BSCSE,CSE 4451,2
Spring2025,BSCSE,CSE 4485,1
Spring2025,BSCSE,CSE 4495,2
Spring2025,BSCSE,CSE 4509,7
Spring2025,BSCSE,CSE 4510,7
Spring2025,BSCSE,CSE 4531,3
Spring2025,BSCSE,CSE 4587,1
Spring2025,BSCSE,CSE 4611,1
Spring2025,BSCSE,CSE 4777,1
Spring2025,BSCSE,CSE 4783,1
Spring2025,BSCSE,CSE 4883,3
Spring2025,BSCSE,CSE 4889,3
Spring2025,BSCSE,CSE 4891,1
Spring2025,BSCSE,CSE 4893,1
Spring2025,BSCSE,CSE 4945,1
Spring2025,BSCSE,ECO 4101,6
Spring2025,BSCSE,EEE 2113,13
Spring2025,BSCSE,EEE 2123,10
Spring2025,BSCSE,EEE 2124,12
Spring2025,BSCSE,EEE 4261,4
Spring2025,BSCSE,ENG 1011,15
Spring2025,BSCSE,ENG 1013,15
Spring2025,BSCSE,IPE 3401,10
Spring2025,BSCSE,MATH 1151,19
Spring2025,BSCSE,MATH 2183,18
Spring2025,BSCSE,MATH 2201,14
Spring2025,BSCSE,MATH 2205,15
Spring2025,BSCSE,PHY 2105,20
Spring2025,BSCSE,PHY 2106,19
Spring2025,BSCSE,PMG 4101,4
Spring2025,BSCSE,PSY 2101,1
Spring2025,BSCSE,SOC 2101,12
Spring2025,BSDS,BIO 3107,1
Spring2025,BSDS,CSE 2213,1
Spring2025,BSDS,CSE 2215,2
Spring2025,BSDS,CSE 2216,2
Spring2025,BSDS,CSE 2217,2
Spring2025,BSDS,CSE 2218,3
Spring2025,BSDS,DS 1101,1
Spring2025,BSDS,DS 1115,4
Spring2025,BSDS,DS 1116,5
Spring2025,BSDS,DS 1501,2
Spring2025,BSDS,DS 1502,3
Spring2025,BSDS,DS 3885,2
Spring2025,BSDS,MATH 1153,2
Spring2025,BSDS,MATH 2107,1
Spring2025,BSDS,MATH 2205,2
